c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13
-2.335075988769531250e+02,1.276295166015625000e+02,8.888275146484375000e+00,6.895515441894531250e+01,-1.922810363769531250e+01,4.327780008316040039e-02,-2.366099506616592407e-02,-2.944869041442871094e+01,-3.194169044494628906e+00,-4.887804412841796875e+01,1.720876216888427734e+00,3.114867210388183594e+01,-9.707984924316406250e+00
-2.508500061035156250e+02,1.258750000000000000e+02,1.719627189636230469e+01,8.343525695800781250e+01,-3.621307849884033203e+00,-6.793654918670654297e+00,-1.323268318176269531e+01,-1.380251502990722656e+01,5.897881031036376953e+00,-5.028223419189453125e+01,-3.373183250427246094e+00,2.898860931396484375e+01,-1.388562583923339844e+01
-2.565038452148437500e+02,1.241019439697265625e+02,1.045767211914062500e+01,8.201919555664062500e+01,3.867926836013793945e+00,-6.977525711059570312e+00,-1.641961479187011719e+01,-1.009127998352050781e+01,4.576513290405273438e+00,-5.199781799316406250e+01,-6.260584592819213867e-01,2.907967758178710938e+01,-1.733192443847656250e+01
-2.448296356201171875e+02,1.073049163818359375e+02,1.243673038482666016e+01,7.190531921386718750e+01,6.036819458007812500e+00,-9.560806274414062500e+00,-9.784881591796875000e+00,-8.974700927734375000e+00,-4.095213413238525391e+00,-4.482801818847656250e+01,-1.612197160720825195e-01,2.152533340454101562e+01,-1.466164398193359375e+01
-2.247385406494140625e+02,1.087966308593750000e+02,1.657353973388671875e+01,4.943476486206054688e+01,1.501013755798339844e+00,-4.478696823120117188e+00,7.573512196540832520e-01,-9.834775924682617188e+00,-1.743375778198242188e+01,-3.589885711669921875e+01,-1.402257919311523438e+00,1.921577835083007812e+01,-7.299597740173339844e+00
-2.571329345703125000e+02,1.402164306640625000e+02,1.666675949096679688e+01,3.574240112304687500e+01,1.177471637725830078e+00,-5.183827400207519531e+00,4.053770065307617188e+00,-6.095070838928222656e+00,-1.879065704345703125e+01,-2.796126174926757812e+01,-1.362393736839294434e+00,1.790559577941894531e+01,2.041504979133605957e-01
-2.550080871582031250e+02,1.356899108886718750e+02,1.149817657470703125e+01,3.553246688842773438e+01,2.271286392211914062e+01,-1.318077373504638672e+01,1.393102884292602539e+00,1.319371938705444336e+00,-1.145221138000488281e+01,-2.125802421569824219e+01,-5.363152503967285156e+00,8.611027717590332031e+00,-1.420632839202880859e+00
-2.035611419677734375e+02,1.160131988525390625e+02,4.456877708435058594e+00,1.317188644409179688e+01,2.651086807250976562e+01,-2.008994674682617188e+01,1.715427637100219727e-02,7.847925186157226562e+00,1.023796939849853516e+01,-2.576416015625000000e+01,-1.015077781677246094e+01,2.913849353790283203e+00,6.031915187835693359e+00
-2.045190734863281250e+02,9.816574096679687500e+01,-2.994249820709228516e+00,-9.725868225097656250e+00,2.400854110717773438e+01,-1.968725204467773438e+01,-5.724764823913574219e+00,1.494395446777343750e+01,1.549458694458007812e+01,-2.109368896484375000e+01,-9.248739242553710938e+00,-1.518314838409423828e+00,1.188013935089111328e+01
-2.326512451171875000e+02,9.894066619873046875e+01,1.226094365119934082e-01,-1.280650138854980469e+01,2.058151435852050781e+01,-1.435606765747070312e+01,-6.482803344726562500e+00,1.168227672576904297e+01,1.506732177734375000e+01,-1.575089073181152344e+01,-7.947390556335449219e+00,-3.158163785934448242e+00,8.189016342163085938e+00
-2.527285614013671875e+02,1.038365020751953125e+02,1.025234889984130859e+01,5.087249755859375000e+00,6.952510356903076172e+00,-1.404102444648742676e+00,-1.740042877197265625e+01,2.202653884887695312e+00,1.637940597534179688e+01,-7.739224910736083984e+00,-9.157583713531494141e-01,2.029837369918823242e+00,4.640134334564208984e+00
-1.962844848632812500e+02,9.395397949218750000e+01,-2.603434920310974121e-01,8.450521469116210938e+00,2.037163019180297852e+00,9.568363189697265625e+00,-2.736198616027832031e+01,-1.426892375946044922e+01,2.178712463378906250e+01,-7.109074115753173828e+00,5.192385673522949219e+00,-1.103028059005737305e+00,-8.579410314559936523e-01
-1.677431030273437500e+02,1.187936706542968750e+02,-5.062944889068603516e+00,4.341083049774169922e+00,1.217100739479064941e+00,1.839306068420410156e+01,-2.632734107971191406e+01,-2.125574111938476562e+01,1.974239349365234375e+01,-7.409585952758789062e+00,1.068851280212402344e+01,-4.995971679687500000e+00,-7.602421760559082031e+00
-1.846880950927734375e+02,1.438931274414062500e+02,-1.045292472839355469e+01,6.791508197784423828e+00,-3.439388751983642578e+00,2.250862884521484375e+01,-2.077914428710937500e+01,-1.947948455810546875e+01,1.305585479736328125e+01,-1.202621221542358398e+00,6.377357482910156250e+00,-1.085054278373718262e+00,-1.379382514953613281e+01
-1.932289733886718750e+02,1.443143310546875000e+02,-1.114609813690185547e+01,2.275818634033203125e+01,-6.192845344543457031e+00,1.326918792724609375e+01,-1.495920562744140625e+01,-2.009561538696289062e+01,1.142080974578857422e+01,3.089730262756347656e+00,3.028434813022613525e-01,3.429219722747802734e+00,-1.503763294219970703e+01
-1.919263153076171875e+02,1.386454925537109375e+02,-1.300285530090332031e+01,4.142020797729492188e+01,-1.471273040771484375e+01,7.202363967895507812e+00,-7.265125274658203125e+00,-1.984878349304199219e+01,1.404848098754882812e+01,-2.346546173095703125e+00,-2.869379758834838867e+00,1.738273978233337402e+00,-7.051345825195312500e+00
-1.910508880615234375e+02,1.219980468750000000e+02,-1.607450485229492188e+01,6.667477416992187500e+01,-1.887020492553710938e+01,4.459085464477539062e+00,-4.151885032653808594e+00,-2.329556655883789062e+01,1.749106979370117188e+01,-7.527236461639404297e+00,-7.644612312316894531e+00,2.254251956939697266e+00,-3.857620239257812500e+00
-2.096499938964843750e+02,1.179608154296875000e+02,-7.978638648986816406e+00,7.738468933105468750e+01,-1.710287857055664062e+01,2.410178422927856445e+00,-6.518544197082519531e+00,-2.803038215637207031e+01,1.114344978332519531e+01,-6.057213783264160156e+00,-8.637292861938476562e+00,8.770478963851928711e-01,-3.634784698486328125e+00
